2026-02-02 02:06:38,987 [INFO] Logger initialized
2026-02-02 02:23:15,145 [INFO] [SCRAPE] BTCUSDT price = 77,163.81 USDT
2026-02-02 02:23:20,903 [INFO] [SCRAPE] BTCUSDT price = 77,152.10 USDT
2026-02-02 02:23:26,536 [INFO] [SCRAPE] BTCUSDT price = 77,183.69 USDT
2026-02-02 02:23:31,932 [INFO] [SCRAPE] BTCUSDT price = 77,208.87 USDT
2026-02-02 02:23:37,324 [INFO] [SCRAPE] BTCUSDT price = 77,218.86 USDT
2026-02-02 02:23:42,715 [INFO] [SCRAPE] BTCUSDT price = 77,218.86 USDT
2026-02-02 02:23:48,107 [INFO] [SCRAPE] BTCUSDT price = 77,218.80 USDT
2026-02-02 02:23:53,514 [INFO] [SCRAPE] BTCUSDT price = 77,194.01 USDT
2026-02-02 02:23:58,903 [INFO] [SCRAPE] BTCUSDT price = 77,146.00 USDT
2026-02-02 02:24:04,392 [INFO] [SCRAPE] BTCUSDT price = 77,125.27 USDT
2026-02-02 02:24:09,873 [INFO] [SCRAPE] BTCUSDT price = 77,149.42 USDT
2026-02-02 02:24:15,449 [INFO] [SCRAPE] BTCUSDT price = 77,131.48 USDT
2026-02-02 02:24:20,948 [INFO] [SCRAPE] BTCUSDT price = 77,144.00 USDT
2026-02-02 02:24:26,373 [INFO] [SCRAPE] BTCUSDT price = 77,188.57 USDT
2026-02-02 02:24:31,777 [INFO] [SCRAPE] BTCUSDT price = 77,194.69 USDT
2026-02-02 02:24:37,172 [INFO] [SCRAPE] BTCUSDT price = 77,212.13 USDT
2026-02-02 02:24:42,561 [INFO] [SCRAPE] BTCUSDT price = 77,201.82 USDT
2026-02-02 02:24:47,969 [INFO] [SCRAPE] BTCUSDT price = 77,198.39 USDT
2026-02-02 02:24:53,363 [INFO] [SCRAPE] BTCUSDT price = 77,165.63 USDT
2026-02-02 02:24:58,942 [INFO] [SCRAPE] BTCUSDT price = 77,183.40 USDT
2026-02-02 02:25:04,365 [INFO] [SCRAPE] BTCUSDT price = 77,202.22 USDT
2026-02-02 02:25:09,757 [INFO] [SCRAPE] BTCUSDT price = 77,218.86 USDT
2026-02-02 02:25:15,146 [INFO] [SCRAPE] BTCUSDT price = 77,264.74 USDT
2026-02-02 02:25:20,536 [INFO] [SCRAPE] BTCUSDT price = 77,285.15 USDT
2026-02-02 02:25:25,965 [INFO] [SCRAPE] BTCUSDT price = 77,280.93 USDT
2026-02-02 02:25:31,356 [INFO] [SCRAPE] BTCUSDT price = 77,292.07 USDT
2026-02-02 02:25:36,924 [INFO] [SCRAPE] BTCUSDT price = 77,292.08 USDT
2026-02-02 02:25:42,316 [INFO] [SCRAPE] BTCUSDT price = 77,273.94 USDT
2026-02-02 02:25:47,877 [INFO] [SCRAPE] BTCUSDT price = 77,252.74 USDT
2026-02-02 02:25:53,360 [INFO] [SCRAPE] BTCUSDT price = 77,247.01 USDT
2026-02-02 02:25:58,827 [INFO] [SCRAPE] BTCUSDT price = 77,210.58 USDT
2026-02-02 02:26:04,391 [INFO] [SCRAPE] BTCUSDT price = 77,210.59 USDT
2026-02-02 02:26:10,060 [INFO] [SCRAPE] BTCUSDT price = 77,190.64 USDT
2026-02-02 02:26:15,703 [INFO] [SCRAPE] BTCUSDT price = 77,201.08 USDT
2026-02-02 02:26:21,563 [INFO] [SCRAPE] BTCUSDT price = 77,224.00 USDT
2026-02-02 02:26:27,268 [INFO] [SCRAPE] BTCUSDT price = 77,253.99 USDT
2026-02-02 02:26:32,939 [INFO] [SCRAPE] BTCUSDT price = 77,272.00 USDT
2026-02-02 02:26:38,504 [INFO] [SCRAPE] BTCUSDT price = 77,249.63 USDT
2026-02-02 02:26:44,070 [INFO] [SCRAPE] BTCUSDT price = 77,200.00 USDT
2026-02-02 02:26:49,737 [INFO] [SCRAPE] BTCUSDT price = 77,210.59 USDT
2026-02-02 02:26:55,289 [INFO] [SCRAPE] BTCUSDT price = 77,200.00 USDT
2026-02-02 02:27:00,824 [INFO] [SCRAPE] BTCUSDT price = 77,205.42 USDT
2026-02-02 02:27:06,218 [INFO] [SCRAPE] BTCUSDT price = 77,215.13 USDT
2026-02-02 02:27:11,611 [INFO] [SCRAPE] BTCUSDT price = 77,176.43 USDT
2026-02-02 02:27:17,010 [INFO] [SCRAPE] BTCUSDT price = 77,196.71 USDT
2026-02-02 02:27:22,403 [INFO] [SCRAPE] BTCUSDT price = 77,193.21 USDT
2026-02-02 02:27:27,798 [INFO] [SCRAPE] BTCUSDT price = 77,214.40 USDT
2026-02-02 02:27:33,203 [INFO] [SCRAPE] BTCUSDT price = 77,256.98 USDT
2026-02-02 02:27:38,605 [INFO] [SCRAPE] BTCUSDT price = 77,268.99 USDT
2026-02-02 02:27:44,172 [INFO] [SCRAPE] BTCUSDT price = 77,273.82 USDT
2026-02-02 02:27:49,566 [INFO] [SCRAPE] BTCUSDT price = 77,279.99 USDT
